DATE,FPCPITOTLZGUSA
1960-01-01,1.509929427
1961-01-01,1.075181891
1962-01-01,1.116071429
1963-01-01,1.214128036
1964-01-01,1.308615049
1965-01-01,1.66846071
1966-01-01,2.991000529
1967-01-01,2.775636083
1968-01-01,4.217721097
1969-01-01,5.414700472
1970-01-01,5.895295903
1971-01-01,4.255928924
1972-01-01,3.305614735
1973-01-01,6.220063864
1974-01-01,11.03526022
1975-01-01,9.131930735
1976-01-01,5.737027083
1977-01-01,6.486460064
1978-01-01,7.647463851
1979-01-01,11.26604409
1980-01-01,13.50937033
1981-01-01,10.31553398
1982-01-01,6.160616062
1983-01-01,3.212435233
1984-01-01,4.317269076
1985-01-01,3.561116458
1986-01-01,1.858736059
1987-01-01,3.740875912
1988-01-01,4.009088244
1989-01-01,4.82700303
1990-01-01,5.39795644
1991-01-01,4.234963965
1992-01-01,3.028819678
1993-01-01,2.951656966
1994-01-01,2.607441592
1995-01-01,2.805419689
1996-01-01,2.9312042
1997-01-01,2.337689937
1998-01-01,1.552279099
1999-01-01,2.188027197
2000-01-01,3.376857271
2001-01-01,2.826171119
2002-01-01,1.586031627
2003-01-01,2.270094973
2004-01-01,2.677236693
2005-01-01,3.392746845
2006-01-01,3.225944101
2007-01-01,2.852672482
2008-01-01,3.839100297
2009-01-01,-0.355546266
2010-01-01,1.640043442
2011-01-01,3.156841569
2012-01-01,2.069337265
2013-01-01,1.464832656
2014-01-01,1.622222977
2015-01-01,0.118627136
2016-01-01,1.261583206
